Date,NAV
20090527,98.75
20090528,100.27
20090529,101.64
20090601,104.32
20090602,104.51
20090603,103.16
20090604,104.34
20090605,104.1
20090608,104
20090609,104.38
20090610,104.02
20090611,104.64
20090612,104.8
20090615,102.34
20090616,101.07
20090617,100.96
20090618,101.81
20090619,102.13
20090622,99.14
20090623,99.34
20090624,100.02
20090625,102.18
20090626,102.02
20090629,102.93
20090630,102.08
20090701,102.52
20090702,99.61
20090706,99.85
20090707,97.92
20090708,97.84
20090709,98.16
20090710,97.77
20090713,100.22
20090714,100.75
20090715,103.77
20090716,104.66
20090717,104.62
20090720,105.82
20090721,106.21
20090722,106.17
20090723,108.64
20090724,108.94
20090727,109.24
20090728,108.97
20090729,108.51
20090730,109.81
20090731,109.88
20090803,111.56
20090804,111.89
20090805,111.59
20090806,110.97
20090807,112.45
20090810,112.08
20090811,110.74
20090812,112.06
20090813,112.85
20090814,111.9
20090817,109.25
20090818,110.37
20090819,111.15
20090820,112.33
20090821,114.42
20090824,114.36
20090825,114.63
20090826,114.66
20090827,114.95
20090828,114.72
20090831,113.82
20090901,111.37
20090902,111.03
20090903,112.01
20090904,113.47
20090908,114.49
20090909,115.38
20090910,116.57
20090911,116.44
20090914,117.17
20090915,117.52
20090916,119.32
20090917,118.98
20090918,119.29
20090921,118.9
20090922,119.69
20090923,118.49
20090924,117.41
20090925,116.68
20090928,118.77
20090929,118.5
20090930,118.1
20091001,115.14
20091002,114.63
20091005,116.32
20091006,117.93
20091007,118.3
20091008,119.19
20091009,119.85
20091012,120.38
20091013,120.09
20091014,122.2
20091015,122.68
20091016,121.71
20091019,122.86
20091020,122.09
20091021,121.04
20091022,122.32
20091023,120.92
20091026,119.53
20091027,119.11
20091028,116.81
20091029,119.46
20091030,116.17
20091102,116.92
20091103,117.2
20091104,117.36
20091105,119.67
20091106,119.98
20091109,122.7
20091110,122.72
20091111,123.34
20091112,122.13
20091113,122.84
20091116,124.63
20091117,124.78
20091118,124.76
20091119,123.13
20091120,122.72
20091123,124.4
20091124,124.33
20091125,124.9
20091127,122.8
20091130,123.28
20091201,124.77
20091202,124.84
20091203,123.8
20091204,124.48
20091207,124.17
20091208,122.91
20091209,123.36
20091210,124.1
20091211,124.58
20091214,125.41
20091215,124.71
20091216,124.83
20091217,123.35
20091218,124.13
20091221,125.42
20091222,125.87
20091223,126.2
20091224,126.87
20091228,127.05
20091229,126.9
20091230,126.92
20091231,125.64
20100104,127.66
20100105,128.05
20100106,128.17
20100107,128.67
20100108,129.03
20100111,129.25
20100112,128.08
20100113,129.16
20100114,129.47
20100115,128.09
20100119,129.69
20100120,128.34
20100121,125.95
20100122,123.23
20100125,123.79
20100126,123.29
20100127,123.88
20100128,122.44
20100129,121.26
20100201,122.97
20100202,124.55
20100203,123.94
20100204,120.15
20100205,120.51
20100208,119.49
20100209,121.05
20100210,120.8
20100211,121.98
20100212,121.67
20100216,123.91
20100217,124.48
20100218,125.3
20100219,125.54
20100222,125.42
20100223,123.91
20100224,125.14
20100225,124.93
20100226,125.1
20100301,126.35
20100302,126.65
20100303,126.7
20100304,127.19
20100305,128.98
20100308,129
20100309,129.26
20100310,129.88
20100311,130.47
20100312,130.43
20100315,130.51
20100316,131.55
20100317,132.32
20100318,132.27
20100319,131.57
20100322,132.28
20100323,133.26
20100324,132.53
20100325,132.34
20100326,132.44
20100329,133.19
20100330,133.21
20100331,132.77
20100401,133.75
20100405,134.82
20100406,135.06
20100407,134.36
20100408,134.84
20100409,135.73
20100412,135.98
20100413,136.09
20100414,137.63
20100415,137.73
20100416,135.53
20100419,136.17
20100420,137.28
20100421,137.16
20100422,137.49
20100423,138.44
20100426,137.83
20100427,134.66
20100428,135.52
20100429,137.3
20100430,135.02
20100503,136.78
20100504,133.56
20100505,132.75
20100506,128.55
20100507,126.57
20100510,132.21
20100511,131.81
20100512,133.68
20100513,132.07
20100514,129.61
20100517,129.77
20100518,127.97
20100519,127.32
20100520,122.5
20100521,124.32
20100524,122.76
20100525,122.79
20100526,122.1
20100527,126.22
20100528,124.69
20100601,122.59
20100602,125.79
20100603,126.33
20100604,122.01
20100607,120.41
20100608,121.73
20100609,121.04
20100610,124.63
20100611,125.22
20100614,125
20100615,127.95
20100616,127.87
20100617,128.04
20100618,128.2
20100621,127.69
20100622,125.69
20100623,125.31
20100624,123.21
20100625,123.58
20100628,123.32
20100629,119.54
20100630,118.34
20100701,118
20100702,117.47
20100706,118.11
20100707,121.89
20100708,123.06
20100709,123.95
20100712,124.07
20100713,126.01
20100714,125.99
20100715,126.13
20100716,122.56
20100719,123.3
20100720,124.74
20100721,123.16
20100722,125.95
20100723,127
20100726,128.42
20100727,128.28
20100728,127.4
20100729,126.88
20100730,126.89
20100802,129.69
20100803,129.07
20100804,129.9
20100805,129.73
20100806,129.28
20100809,130
20100810,129.22
20100811,125.73
20100812,125.04
20100813,124.55
20100816,124.58
20100817,126.15
20100818,126.33
20100819,124.21
20100820,123.77
20100823,123.3
20100824,121.54
20100825,121.96
20100826,121.02
20100827,123.04
20100830,121.26
20100831,121.26
20100901,124.94
20100902,126.1
20100903,127.78
20100907,126.36
20100908,127.19
20100909,127.8
20100910,128.43
20100913,129.92
20100914,129.86
20100915,130.33
20100916,130.31
20100917,130.44
20100920,132.44
20100921,132.08
20100922,131.49
20100923,130.41
20100924,133.17
20100927,132.44
20100928,133.11
20100929,132.79
20100930,132.37
20101001,132.96
20101004,131.92
20101005,134.65
20101006,134.66
20101007,134.44
20101008,135.27
20101011,135.3
20101012,135.8
20101013,136.8
20101014,136.27
20101015,136.56
20101018,137.57
20101019,135.41
20101020,136.83
20101021,137.1
20101022,137.42
20101025,137.73
20101026,137.77
20101027,137.42
20101028,137.6
20101029,137.58
20101101,137.68
20101102,138.75
20101103,139.29
20101104,142.01
20101105,142.57
20101108,142.29
20101109,141.21
20101110,141.83
20101111,141.24
20101112,139.59
20101115,139.39
20101116,137.22
20101117,137.26
20101118,139.37
20101119,139.73
20101122,139.54
20101123,137.57
20101124,139.65
20101126,138.64
20101129,138.49
20101130,137.68
20101201,140.68
20101202,142.5
20101203,142.89
20101206,142.72
20101207,142.81
20101208,143.37
20101209,143.94
20101210,144.83
20101213,144.86
20101214,145
20101215,144.28
20101216,145.17
20101217,145.34
20101220,145.68
20101221,146.57
20101222,147.08
20101223,146.84
20101227,146.96
20101228,147.07
20101229,147.25
20101230,147.04
20101231,147
20110103,148.67
20110104,148.49
20110105,149.26
20110106,149
20110107,148.74
20110110,148.51
20110111,149.08
20110112,150.43
20110113,150.18
20110114,151.26
20110118,151.47
20110119,149.97
20110120,149.81
20110121,150.14
20110124,150.99
20110125,151.05
20110126,151.71
20110127,152.08
20110128,149.38
20110131,150.5
20110201,153.01
20110202,152.63
20110203,152.99
20110204,153.42
20110207,154.43
20110208,155.14
20110209,154.71
20110210,154.83
20110211,155.71
20110214,156.08
20110215,155.59
20110216,156.58
20110217,157.09
20110218,157.38
20110222,154.15
20110223,153.21
20110224,153.09
20110225,154.67
20110228,155.47
20110301,153.04
20110302,153.35
20110303,155.98
20110304,154.85
20110307,153.57
20110308,154.98
20110309,154.8
20110310,151.93
20110311,153.05
20110314,152.15
20110315,150.48
20110316,147.59
20110317,149.52
20110318,150.15
20110321,152.43
20110322,151.92
20110323,152.36
20110324,153.8
20110325,154.29
20110328,153.86
20110329,154.98
20110330,156.02
20110331,155.75
20110401,156.51
20110404,156.58
20110405,156.59
20110406,157
20110407,156.77
20110408,156.13
20110411,155.7
20110412,154.53
20110413,154.6
20110414,154.6
20110415,155.19
20110418,153.49
20110419,154.35
20110420,156.46
20110421,157.27
20110425,157
20110426,158.41
20110427,159.45
20110428,160.02
20110429,160.39
20110502,160.11
20110503,159.57
20110504,158.54
20110505,157.12
20110506,157.74
20110509,158.44
20110510,159.72
20110511,158.08
20110512,158.91
20110513,157.63
20110516,156.66
20110517,156.64
20110518,158.03
20110519,158.4
20110520,157.18
20110523,155.32
20110524,155.17
20110525,155.64
20110526,156.3
20110527,156.98
20110531,158.65
20110601,155.1
20110602,154.91
20110603,153.4
20110606,151.78
20110607,151.66
20110608,151.04
20110609,152.17
20110610,150.09
20110613,150.24
20110614,152.15
20110615,149.5
20110616,149.79
20110617,150.25
20110620,151.08
20110621,153.15
20110622,152.16
20110623,151.75
20110624,149.96
20110627,151.35
20110628,153.35
20110629,154.64
20110630,156.21
20110701,158.49
20110705,158.3
20110706,158.54
20110707,160.24
20110708,159.15
20110711,156.3
20110712,155.61
20110713,156.11
20110714,155.05
20110715,155.92
20110718,154.65
20110719,157.2
20110720,157.11
20110721,159.24
20110722,159.4
20110725,158.5
20110726,157.89
20110727,154.72
20110728,154.23
20110729,153.25
20110801,152.61
20110802,148.76
20110803,149.57
20110804,142.6
20110805,142.5
20110808,133.33
20110809,139.81
20110810,133.82
20110811,140.15
20110812,140.87
20110815,143.96
20110816,142.66
20110817,142.8
20110818,136.6
20110819,134.58
20110822,134.63
20110823,139.35
20110824,141.2
20110825,139.02
20110826,141.16
20110829,145.23
20110830,145.61
20110831,146.35
20110901,144.62
20110902,141.04
20110906,140.01
20110907,144.13
20110908,142.61
20110909,138.86
20110912,139.85
20110913,141.2
20110914,143.12
20110915,145.62
20110916,146.47
20110919,145.05
20110920,144.79
20110921,140.62
20110922,136.19
20110923,137.06
20110926,140.27
20110927,141.76
20110928,138.91
20110929,140.01
20110930,136.57
20111003,132.75
20111004,135.78
20111005,138.28
20111006,140.86
20111007,139.74
20111010,144.58
20111011,144.67
20111012,146.12
20111013,145.69
20111014,148.24
20111017,145.4
20111018,148.42
20111019,146.57
20111020,147.22
20111021,150.01
20111024,151.98
20111025,148.96
20111026,150.5
20111027,155.76
20111028,155.83
20111031,152.01
20111101,147.83
20111102,150.25
20111103,153.12
20111104,152.17
