Date;Food;Beer;Smoke;Games;Books;Hshld;Clths;Hlth;Chems;Txtls;Cnstr;Steel;FabPr;ElcEq;Autos;Carry;Mines;Coal;Oil;Util;Telcm;Servs;BusEq;Paper;Trans;Whlsl;Rtail;Meals;Fin;Other
192812;   0.65;  -3.84;  -1.41;  -0.63;  -0.47;  -3.58;  -0.33;  -0.46;   2.34;  -5.88;   1.13;   3.92;   3.34;   7.14;  -0.02;   1.37;   1.99;  -0.59;  -4.56;   1.54;  -0.36;  -7.62;   7.50;   1.79;   0.24;  -3.85;  -1.23;  -3.08;   0.65; -12.60
192901;   3.46;   9.58;   3.31;  10.26;   1.51;   6.63;  -1.88;   3.41;  22.89;  -1.28;   7.93;   7.80;  12.18;  12.79;   0.97;   0.88;   8.48;   1.74;  -8.09;  13.30;  13.38;  -0.22;   2.84;   5.58;   4.71;  -4.95;  -3.97;  -0.12;   8.52;   1.21
192902;  -1.69;  -4.06;  -4.34;   1.15;  -1.49;  -6.92;  -4.07;   0.04;  -0.19;   2.36;  -3.39;   8.83;   1.21;  -1.84;   0.45;   0.92;   8.44;   0.74;  -0.22;  -1.99;  -1.15;  11.12;   1.44;   6.26;  -1.44;  -3.19;  -2.50;   0.16;   0.92;  -6.25
192903;  -4.72;  -2.90;  -4.25;  -9.85;  -7.07;  -7.69;  -5.65;  -1.50;  -3.38;  -7.30;  -6.14;  -0.09;  -4.19;   5.67;  -1.34;   0.70;   4.02;  -6.53;  12.19;  -3.18;   4.32;  -1.07;   1.93;   1.52;  -2.88;  -9.57;  -5.14;  -3.55;  -1.15;  -7.41
192904;   3.61;  13.74;  -2.37;   0.66;   1.73;   0.56;   4.14;   1.48;   3.77;   2.75;   3.73;   1.15;   4.23;   1.06;  -1.23;  -0.28;  -5.78;  -2.20;   0.89;   5.02;   3.39;   3.54;   4.28;   7.91;   1.33;   3.54;   3.56;  10.37;   3.26; -10.73
192905;  -5.09; -11.00;  -0.24;  -8.97;   0.31; -10.38;  -6.61;  -7.89;  -7.02; -13.88;  -6.92; -12.42;  -9.69;   0.83; -15.26;  -7.70; -10.99;  -4.99;  -5.62;   4.68;  -8.77;  -5.12;  -1.35;  -8.20;   2.48;  -6.54;  -8.87;  -2.92;  -5.88; -13.22
192906;   8.03;  12.52;  -0.14;   6.98;  10.68;  14.73;   5.61;   4.53;  19.97;   2.49;   4.95;  10.71;  15.26;  19.27;   6.86;  10.76;   2.41;   2.19;   1.08;  23.48;  13.80;  18.96;  10.01;  12.59;   6.01;  -2.97;   9.25;  19.14;   6.33;   5.08
192907;   4.87;   1.59;   2.05;  -2.18;   0.88;   6.52;  -3.99;   2.60;   5.11;  -3.66;   5.54;   3.47;   5.54;  10.10;  -3.94;   4.90;  -2.37;  19.94;  -0.86;   9.17;  13.68;  -0.73;   5.72;   6.81;   8.29;  -3.03;   1.06;   1.83;   8.39;   4.49
192908;   4.18;   9.79;   8.19;   6.24;   1.49;   3.53;   0.96;   3.13;  11.82;   0.24;   2.84;  11.82;  10.32;  13.38;   2.07;   2.02;   8.92;   5.26;  11.75;   9.01;  10.98;  -3.71;   8.98;   9.47;   8.33;  -5.79;   8.19;   4.72;   5.42;  -2.99
192909;  -2.28;  -2.26;  -7.51;  -1.63;  -1.67;   6.78;  -4.16;  -7.04;  -6.80;  -3.28;  -2.99;  -8.97;  -5.77; -11.48;  -9.01;  -9.14;  -4.82;  -2.06;  -3.10;   0.92;  -1.38;  38.76;   9.80;  -4.59;  -7.72;  -0.66;  -5.63;  -3.24;  -5.20;  -0.18
192910; -14.52; -26.42;   2.31; -19.68; -12.59; -34.06; -11.58; -18.04; -24.69; -22.54; -16.99; -15.57; -22.56; -30.22; -28.16; -21.84; -13.04;  -8.05; -10.29; -29.72; -15.39; -13.61; -19.02; -15.16;  -8.12; -23.29; -24.16; -19.60; -29.33; -32.63
