ibes_ticker,cusip,oftic,cname,period_end,pdicity,measure,actual_eps,announce_date
EL,51843910,EL,ESTEE LAUDER COS,1997-12-31,QTR,EPS,0.66,1998-01-27
EL,51843910,EL,ESTEE LAUDER COS,1998-03-31,QTR,EPS,0.33,1998-04-28
EL,51843910,EL,ESTEE LAUDER COS,1998-06-30,QTR,EPS,0.32,1998-08-18
EL,51843910,EL,ESTEE LAUDER COS,1998-09-30,QTR,EPS,0.55,1998-10-27
EL,51843910,EL,ESTEE LAUDER COS,1998-12-31,QTR,EPS,0.76,1999-01-26
EL,51843910,EL,ESTEE LAUDER COS,1999-03-31,QTR,EPS,0.39,1999-04-27
EL,51843910,EL,ESTEE LAUDER COS,1999-06-30,QTR,EPS,0.18,1999-08-18
EL,51843910,EL,ESTEE LAUDER COS,1999-09-30,QTR,EPS,0.32,1999-10-26
EL,51843910,EL,ESTEE LAUDER COS,1999-12-31,QTR,EPS,0.45,2000-01-27
EL,51843910,EL,ESTEE LAUDER COS,2000-03-31,QTR,EPS,0.22,2000-04-25
EL,51843910,EL,ESTEE LAUDER COS,2000-06-30,QTR,EPS,0.21,2000-08-16
EL,51843910,EL,ESTEE LAUDER COS,2000-09-30,QTR,EPS,0.37,2000-10-24
EL,51843910,EL,ESTEE LAUDER COS,2000-12-31,QTR,EPS,0.5,2001-01-30
EL,51843910,EL,ESTEE LAUDER COS,2001-03-31,QTR,EPS,0.24,2001-04-24
EL,51843910,EL,ESTEE LAUDER COS,2001-06-30,QTR,EPS,0.23,2001-08-16
EL,51843910,EL,ESTEE LAUDER COS,2001-09-30,QTR,EPS,0.38,2001-10-25
EL,51843910,EL,ESTEE LAUDER COS,2001-12-31,QTR,EPS,0.35,2002-01-30
EL,51843910,EL,ESTEE LAUDER COS,2002-03-31,QTR,EPS,0.19,2002-04-30
EL,51843910,EL,ESTEE LAUDER COS,2002-06-30,QTR,EPS,0.19,2002-08-15
EL,51843910,EL,ESTEE LAUDER COS,2002-09-30,QTR,EPS,0.28,2002-10-29
EL,51843910,EL,ESTEE LAUDER COS,2002-12-31,QTR,EPS,0.44,2003-01-30
EL,51843910,EL,ESTEE LAUDER COS,2003-03-31,QTR,EPS,0.33,2003-04-30
EL,51843910,EL,ESTEE LAUDER COS,2003-06-30,QTR,EPS,0.26,2003-08-14
EL,51843910,EL,ESTEE LAUDER COS,2003-09-30,QTR,EPS,0.33,2003-10-28
EL,51843910,EL,ESTEE LAUDER COS,2003-12-31,QTR,EPS,0.54,2004-01-29
EL,51843910,EL,ESTEE LAUDER COS,2004-03-31,QTR,EPS,0.43,2004-04-28
EL,51843910,EL,ESTEE LAUDER COS,2004-06-30,QTR,EPS,0.31,2004-08-17
EL,51843910,EL,ESTEE LAUDER COS,2004-09-30,QTR,EPS,0.41,2004-11-03
EL,51843910,EL,ESTEE LAUDER COS,2004-12-31,QTR,EPS,0.6,2005-01-27
EL,51843910,EL,ESTEE LAUDER COS,2005-03-31,QTR,EPS,0.46,2005-04-28
EL,51843910,EL,ESTEE LAUDER COS,2005-06-30,QTR,EPS,0.42,2005-08-16
EL,51843910,EL,ESTEE LAUDER COS,2005-09-30,QTR,EPS,0.28,2005-10-26
EL,51843910,EL,ESTEE LAUDER COS,2005-12-31,QTR,EPS,0.7,2006-01-26
EL,51843910,EL,ESTEE LAUDER COS,2006-03-31,QTR,EPS,0.44,2006-05-04
EL,51843910,EL,ESTEE LAUDER COS,2006-06-30,QTR,EPS,0.51,2006-08-16
